poem,all,coherent,grammatical,melodious,moved,real,rhyming,readable,comprehensible,intense,liking
"going before thy path , him ,<br>to thee , away ! thy judgment !<br>stand by the faces i see ,<br>and though it 's not virgil<br>light as a shadow of death .<br>in his choice tiny while he was",-0.26422542333602905,-0.2544955313205719,-0.24575300514698029,-0.2579490542411804,-0.24894046783447266,-0.26827624440193176,-0.24680812656879425,-0.2496441900730133,-0.25143325328826904,-0.2661581039428711,-0.2633444368839264
"look where the grass is gay<br>with summer blossoms , haply there he cowers ;<br>and search , from spray to spray ,<br>the leafy laurel-bowers ,<br>for well he loves the laurels and the flowers .",-0.26422587037086487,-0.25448405742645264,-0.24576003849506378,-0.2579699456691742,-0.24893943965435028,-0.2682840824127197,-0.24679075181484222,-0.24965110421180725,-0.2514383792877197,-0.26617181301116943,-0.2633523941040039
"until i started writing memoir here,<br>in this apartment, in my life) i go,<br>again and once again... and always hear,<br>again, the same exact details: the door,<br>the table. i forget about myself,<br>forget that table ( maybe it is war,<br>i always wonder) open to the shelf,<br>about to open, maybe slamming shut,<br>because... another table! open what.",-0.26422569155693054,-0.2544960677623749,-0.24576358497142792,-0.25795674324035645,-0.24895279109477997,-0.2682618498802185,-0.2467963844537735,-0.24965152144432068,-0.25142040848731995,-0.26616570353507996,-0.26333335041999817
"my blades , before my chaunt i end ,[ 14 ]<br>here the rag-sauce of a friend ;[ 15 ]<br>ne'er trust to any fancy jade ,<br>for all their chaff is only trade !<br>fol , de , rol .",-0.26422640681266785,-0.254488080739975,-0.2457774430513382,-0.25796470046043396,-0.24893459677696228,-0.2682873606681824,-0.246810644865036,-0.2496400624513626,-0.25143131613731384,-0.2661682069301605,-0.26337093114852905
"alas, are raven' driven hither. they,<br>alas. alas for children! children may,<br>indeed. alas, alas! alas the way,<br>alas, alas, to happy childhood, may,<br>indeed. perhaps, indeed. indeed, alas!<br>alas for children! children may. and they,<br>alas! alas for little people cas.<br>they are indeed, alas, alas! indeed,<br>alas, alas. they cannot, therefore need.",-0.26422640681266785,-0.2545135021209717,-0.24579565227031708,-0.2579840421676636,-0.24897445738315582,-0.2682981491088867,-0.24680207669734955,-0.24965853989124298,-0.2514403164386749,-0.266175240278244,-0.2633669376373291
"and drift away with any hesitation ! <br>for such a quiet little secret calls ! <br>this very moment causes condemnation, <br>to wait until the final curtain falls. <br><br>too many people leaving me unspoken, <br>or waiting on an awful habit forming. <br>another lonely heart already broken, <br>is calling only hearing voices snoring.",-0.26422467827796936,-0.2545097768306732,-0.24578678607940674,-0.2579781115055084,-0.24895928800106049,-0.26829445362091064,-0.24681846797466278,-0.24965810775756836,-0.2514522075653076,-0.2661758065223694,-0.2633708715438843
"since he retired . though she you 'll toll <br>he needs you to the tale of birth and rite <br>“ mary hath seen we rest , your cares salute <br>whiles he comes sacred , and he speaks of gold",-0.2642257809638977,-0.25449955463409424,-0.24575994908809662,-0.2579488456249237,-0.2489529848098755,-0.26827332377433777,-0.2468142956495285,-0.24964922666549683,-0.25143665075302124,-0.2661682367324829,-0.26333048939704895
"little would be ‘ tis brave ,<br>or paint sweet good , sweet fields ,<br>as far above them methinks<br>a dear fragrance .<br>sir and grave !<br>weary , spoken in death , with kindled a held whose beam",-0.2642262876033783,-0.2545050382614136,-0.24577772617340088,-0.2579704821109772,-0.24896953999996185,-0.2683016359806061,-0.24682480096817017,-0.2496682107448578,-0.2514435052871704,-0.26618239283561707,-0.26335564255714417
"a shorter route to india 's strand<br>columbus failed to find .<br>that was an object truly grand ,<br>but in the wealth of this fair land<br>grandeur and good combine .",-0.2642262279987335,-0.2544824779033661,-0.24575623869895935,-0.25794729590415955,-0.2489471733570099,-0.2682775557041168,-0.24679501354694366,-0.24962840974330902,-0.25143343210220337,-0.2661401033401489,-0.2633553147315979
"when i come to the land of the sea . <br>but the great world shall be , <br>and the last leaves are free <br>to the path of our country and our woes ,",-0.26422569155693054,-0.25448480248451233,-0.24575863778591156,-0.25795531272888184,-0.24894727766513824,-0.26828205585479736,-0.24679741263389587,-0.249642476439476,-0.25143468379974365,-0.26617124676704407,-0.26336902379989624
"there are three of old years then ,<br>some of the doorway that hide the most man could see<br>not any , nor heard my horses will , my god , whom you led me !<br>your wealth brother of my sight ,<br>lost swim into the thousand times",-0.26422572135925293,-0.2544908821582794,-0.24576346576213837,-0.25796303153038025,-0.24894565343856812,-0.26829227805137634,-0.24682825803756714,-0.24964404106140137,-0.25142860412597656,-0.26616954803466797,-0.263342946767807
"an hour or heaven at another shrine. <br>too many people sharing christmas praying ! <br>is something really truly great divine, <br>i hope to see supreme decision making. <br><br>but nothing causes constant meditation, <br>for any modern day abomination ! <br>so glad we had a little celebration, <br>blessings from an ancient revelation.",-0.2642250657081604,-0.2545085549354553,-0.24576470255851746,-0.2579607367515564,-0.24896374344825745,-0.2682918608188629,-0.24682088196277618,-0.24964353442192078,-0.2514421343803406,-0.2661851644515991,-0.2633543908596039
"lo , now thou awakest ; so tell me in what wise<br>i shall wend back again : set a word in my mouth<br>to meet the folks ’ murmur , and give heart to the heavy ;<br>for there man speaks to man that thy measure is full ,<br>and thy five-years-old kingdom is falling asunder .",-0.26422548294067383,-0.2545008659362793,-0.24576476216316223,-0.25795799493789673,-0.2489413470029831,-0.2682873010635376,-0.24680045247077942,-0.24963906407356262,-0.25141972303390503,-0.26617172360420227,-0.2633416950702667
"the moon is a child , and i <br>shall see the world above . <br>the mist of the rain , the snow , <br>the wind is out of the west ,",-0.264226496219635,-0.25449517369270325,-0.24576839804649353,-0.2579496204853058,-0.24894165992736816,-0.26827993988990784,-0.24680590629577637,-0.24964909255504608,-0.2514430582523346,-0.26617181301116943,-0.263354629278183
"before he painted it, that people knew,<br>before he painted something, even) you,<br>in your perfect design for me. you who,<br>before i ever tasted you ( okay,<br>before we met and during many times,<br>before i ever touched you) ever- they,<br>the brothers, painted me, before the crimes.<br>before the crimes, the painting, after. you,<br>before and after, even, painted to.",-0.26422685384750366,-0.25452882051467896,-0.24577456712722778,-0.2579762935638428,-0.24897971749305725,-0.2682971954345703,-0.2468041032552719,-0.24964788556098938,-0.2514393925666809,-0.26618772745132446,-0.26338160037994385
"he never finished any job until,<br>before he started to remove his jerk,<br>his little wooden leg began to fill.<br>he always wanted to remove himself,<br>before his owner even had begun.<br>he always started with himself in) self.<br>before his owner ever had the one,<br>before the wooden owner ever had,<br>before he even started to be bad.",-0.2642267644405365,-0.2545194625854492,-0.24580751359462738,-0.2579680383205414,-0.24895623326301575,-0.2682837247848511,-0.24681632220745087,-0.24965800344944,-0.25145408511161804,-0.2661777138710022,-0.26336270570755005
