poem,all,coherent,grammatical,melodious,moved,real,rhyming,readable,comprehensible,intense,liking
"going before thy path , him ,<br>to thee , away ! thy judgment !<br>stand by the faces i see ,<br>and though it 's not virgil<br>light as a shadow of death .<br>in his choice tiny while he was",0.022222222222222223,-0.2,0.2,0.2,-0.2,0.2,0.2,-0.2,0.2,-0.2,0.2
"look where the grass is gay<br>with summer blossoms , haply there he cowers ;<br>and search , from spray to spray ,<br>the leafy laurel-bowers ,<br>for well he loves the laurels and the flowers .",0.2698412698412698,0.7142857142857143,0.42857142857142855,0.14285714285714285,0.14285714285714285,-0.14285714285714285,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.14285714285714285,-0.14285714285714285
"until i started writing memoir here,<br>in this apartment, in my life) i go,<br>again and once again... and always hear,<br>again, the same exact details: the door,<br>the table. i forget about myself,<br>forget that table ( maybe it is war,<br>i always wonder) open to the shelf,<br>about to open, maybe slamming shut,<br>because... another table! open what.",0.37777777777777777,1.0,0.6,0.2,0.2,-0.2,0.2,0.2,1.0,0.2,-0.6
"my blades , before my chaunt i end ,[ 14 ]<br>here the rag-sauce of a friend ;[ 15 ]<br>ne'er trust to any fancy jade ,<br>for all their chaff is only trade !<br>fol , de , rol .",-0.4444444444444444,-1.0,0.0,-0.5,-0.5,-0.5,0.0,0.0,-1.0,-0.5,0.0
"alas, are raven' driven hither. they,<br>alas. alas for children! children may,<br>indeed. alas, alas! alas the way,<br>alas, alas, to happy childhood, may,<br>indeed. perhaps, indeed. indeed, alas!<br>alas for children! children may. and they,<br>alas! alas for little people cas.<br>they are indeed, alas, alas! indeed,<br>alas, alas. they cannot, therefore need.",-0.1111111111111111,0.42857142857142855,-0.42857142857142855,-0.42857142857142855,-0.7142857142857143,0.14285714285714285,0.14285714285714285,0.14285714285714285,-0.42857142857142855,0.14285714285714285,-0.14285714285714285
"and drift away with any hesitation ! <br>for such a quiet little secret calls ! <br>this very moment causes condemnation, <br>to wait until the final curtain falls. <br><br>too many people leaving me unspoken, <br>or waiting on an awful habit forming. <br>another lonely heart already broken, <br>is calling only hearing voices snoring.",-0.18518518518518517,-1.0,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,-0.3333333333333333,-1.0,-0.3333333333333333,-1.0,-0.3333333333333333
"since he retired . though she you 'll toll <br>he needs you to the tale of birth and rite <br>“ mary hath seen we rest , your cares salute <br>whiles he comes sacred , and he speaks of gold",0.1111111111111111,-0.3333333333333333,-0.3333333333333333,0.3333333333333333,1.0,-0.3333333333333333,0.3333333333333333,-0.3333333333333333,-0.3333333333333333,1.0,-0.3333333333333333
"little would be ‘ tis brave ,<br>or paint sweet good , sweet fields ,<br>as far above them methinks<br>a dear fragrance .<br>sir and grave !<br>weary , spoken in death , with kindled a held whose beam",-0.4222222222222222,0.2,-0.2,-0.6,-1.0,-0.2,-0.6,-0.2,-0.2,-1.0,0.2
"a shorter route to india 's strand<br>columbus failed to find .<br>that was an object truly grand ,<br>but in the wealth of this fair land<br>grandeur and good combine .",-0.16666666666666666,0.0,-0.5,0.0,-0.5,-0.5,-0.5,0.5,0.0,0.0,0.0
"when i come to the land of the sea . <br>but the great world shall be , <br>and the last leaves are free <br>to the path of our country and our woes ,",-0.05555555555555555,-0.5,0.0,-0.5,0.0,0.5,0.5,0.0,-0.5,0.0,-0.5
"there are three of old years then ,<br>some of the doorway that hide the most man could see<br>not any , nor heard my horses will , my god , whom you led me !<br>your wealth brother of my sight ,<br>lost swim into the thousand times",0.25925925925925924,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.3333333333333333,-0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333
"an hour or heaven at another shrine. <br>too many people sharing christmas praying ! <br>is something really truly great divine, <br>i hope to see supreme decision making. <br><br>but nothing causes constant meditation, <br>for any modern day abomination ! <br>so glad we had a little celebration, <br>blessings from an ancient revelation.",-0.14814814814814814,0.0,-0.6666666666666666,-0.3333333333333333,0.6666666666666666,0.3333333333333333,-0.3333333333333333,0.0,-0.3333333333333333,-0.6666666666666666,-0.6666666666666666
"lo , now thou awakest ; so tell me in what wise<br>i shall wend back again : set a word in my mouth<br>to meet the folks ’ murmur , and give heart to the heavy ;<br>for there man speaks to man that thy measure is full ,<br>and thy five-years-old kingdom is falling asunder .",0.037037037037037035,-1.0,-0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,-1.0,0.3333333333333333
"the moon is a child , and i <br>shall see the world above . <br>the mist of the rain , the snow , <br>the wind is out of the west ,",0.1746031746031746,1.0,0.14285714285714285,-0.14285714285714285,0.14285714285714285,-0.14285714285714285,0.14285714285714285,0.42857142857142855,-0.14285714285714285,0.14285714285714285,0.14285714285714285
"before he painted it, that people knew,<br>before he painted something, even) you,<br>in your perfect design for me. you who,<br>before i ever tasted you ( okay,<br>before we met and during many times,<br>before i ever touched you) ever- they,<br>the brothers, painted me, before the crimes.<br>before the crimes, the painting, after. you,<br>before and after, even, painted to.",0.07407407407407407,0.3333333333333333,0.0,-0.3333333333333333,0.0,0.0,0.6666666666666666,0.6666666666666666,-0.6666666666666666,0.0,0.0
"he never finished any job until,<br>before he started to remove his jerk,<br>his little wooden leg began to fill.<br>he always wanted to remove himself,<br>before his owner even had begun.<br>he always started with himself in) self.<br>before his owner ever had the one,<br>before the wooden owner ever had,<br>before he even started to be bad.",-0.2222222222222222,-0.5,-0.5,-0.5,0.5,0.0,-0.5,-1.0,0.0,0.5,-1.0
"i am tire now of roam ’ , rosemarie ,<br>an ’ long to be at home ‘ mong de tree ,<br>w'ere de robin redbreas ’ sing<br>in de branches every spring ,<br>an ’ de bes ’ of everyt'ing , you wit ’ me !",-0.05555555555555555,-0.5,-1.0,-0.5,0.5,0.0,0.5,0.5,0.0,0.0,-1.0
"they wanna listen mister uncle ben. <br>have mercy goodness gracious bad email ! <br>not even bother calling me amen, <br>for whom my mother ought to send e mail. <br><br>too many people under handed swords, <br>a random form of java javascript ! <br>and putting freedom on the message boards ! <br>an answer never ever really zipped.",0.1111111111111111,1.0,0.5,0.5,0.0,0.0,-0.5,-0.5,0.0,0.0,0.5
"this was her birth-day here ,<br>when summer 's latest flowers<br>were kindling to their flush and prime ,<br>as if they felt how short the time<br>in these terrestrial bowers .",-0.1111111111111111,0.0,0.0,-0.75,0.5,-0.25,0.0,0.0,-0.5,0.0,0.5
"with only many high commandment thou. <br>for whom we never often virgin mary, <br>who ever heard an angry solemn vow ! <br>not any mother catholic missionary. <br><br>this very little father holy see ! <br>my brother there is celebrating easter, <br>to worship jesus politician b ! <br>or nothing like an old religious leader.",0.25925925925925924,-0.3333333333333333,0.3333333333333333,1.0,-0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,-0.3333333333333333,-0.3333333333333333
"death<br>i never become a man who 's thief and frankly<br>from leafless as sunny please thee<br>as presence , weak from human free up within<br>the tongues snake clouds and no meet many .<br>the days that from the dark gloom ,",0.1111111111111111,-0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.3333333333333333,1.0,-0.3333333333333333,0.3333333333333333,-0.3333333333333333,0.3333333333333333,1.0
"the drone of clouds must sudden be your anguish <br>for if they weep for me , thy strings ill ease <br>i prove on earth in each imaginings <br>virtuous and so well in many a story",0.0,0.5,0.0,0.0,0.5,-1.0,0.0,0.0,0.5,-0.5,-0.5
"yet in the virgin writing felt the air <br>one object only might in one great praise <br>pity , as a form , he would have scarred <br>like silken looks fast sleeping by wood 's hillside",-0.5555555555555556,-1.0,0.0,-0.5,0.0,0.0,-1.0,-1.0,-0.5,-1.0,-0.5
"without this very little southern blot, <br>that only causes cell biology, <br>not even other humans gonna rot ! <br>we never know about my human body. <br><br>is there too many people facing grains ! <br>i wanna see another penicillin ! <br>a broken body under acid stains ! <br>and banging on an empty cell division.",0.14814814814814814,0.5,0.0,-0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,-0.16666666666666666,0.5,0.3333333333333333
"as from an ancestral oak<br>two empty ravens sound their clarion ,<br>yell by yell , and croak by croak ,<br>when they scent the noonday smoke<br>of fresh human carrion :—",-0.05555555555555555,-1.0,-1.0,0.5,-1.0,1.0,-0.5,1.0,0.5,0.0,-1.0
"however, carry to another place,<br>and into other limits. i am ill,<br>alas! without relief; and, in my case,<br>the doctors cannot rightly profit me.<br>i therefore wander here, deprived alike,<br>i know. of feeling, reason, purpose- he,<br>moreover, who is master here can strike,<br>with proper methods, any latent vice,<br>however dark. besides myself. the price.",0.022222222222222223,0.6,0.6,-0.2,1.0,-0.6,0.2,-0.2,-1.0,-0.2,0.2
"spin , spin , belle mergaton !<br>the little good folk the spell they have cast ;<br>by your work well done while the moon hath shone ,<br>ye shall cleave unto joy at last —<br>gigoton , mergaton , spin !",-0.06666666666666667,-0.2,-0.2,0.2,-0.6,-0.2,0.6,-0.6,0.2,0.2,-0.6
"exactly) it is i am saying. you,<br>perhaps you never really wanted) shut,<br>forever. even now you cannot do,<br>without becoming something even worse.<br>because, again. again, i am again,<br>again myself, without distinction( curse,<br>perhaps. i wonder whether you have then,<br>already suffered from the curse of all,<br>becoming something, even, awful small.",-0.4444444444444444,-0.5,-0.5,-1.0,0.0,0.5,-0.5,0.0,-1.0,-1.0,0.5
"when the sun 's low ray in the sky . <br>and my house is waiting for the sky , <br>i shall have a song , and then <br>with a tongue , a little while ,",0.4444444444444444,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.0
the castle of our desire vultures we must be seen <br>the castle with a watery lustre on the floor <br>and the wanderer to the steps of the wand <br>with all her cruell wand'rer as he rides along <br>the meanest serf on sir launfal,-0.22875816993464052,-0.17647058823529413,0.17647058823529413,-0.17647058823529413,-0.29411764705882354,-0.4117647058823529,-0.4117647058823529,-0.17647058823529413,-0.4117647058823529,-0.17647058823529413,-0.29411764705882354
"oh! when they might be with an evil hour<br>bright with the stars, that's transport by a shower<br>and dash'd into the light, at night by day<br>and to a mournful music burst away",0.2698412698412698,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.42857142857142855
"i saw a tree . i heard no sound <br>of a great heart that is not a dream . <br>come down , come down , come near , <br>and i shall be long and long ago .",0.25925925925925924,0.6666666666666666,-0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666
"your lips — but i have no words , janette —<br>they were fresh as the twitter of birds — my pet ,<br>when the spring is young , and the roses are wet ,<br>with the dewdrops in each red bosom set ,<br>and they suited your gold brown hair — my pet .",0.1111111111111111,-0.5,0.0,0.5,0.0,0.5,0.5,0.0,-0.5,0.5,0.5
"the sun is on the mountain side , <br>the sun 's young flowers are green ; <br>and every one that the children were wed . <br>the old man with his son ,",0.05555555555555555,0.0,0.0,-0.5,0.5,0.0,0.0,0.0,0.5,0.0,-0.5
"but kindling sun flew with a living day<br>no way was left within the place to lay<br>at length he saw she on his speed again<br>the path he had, and set it with his pain",-0.047619047619047616,-0.14285714285714285,-0.14285714285714285,-0.42857142857142855,-0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.7142857142857143,-0.7142857142857143,0.42857142857142855
"once , brother , what is good , and passionate children ,<br>and this are nursed , and , send !<br>the when they complain , at morning abroad , may lost be indeed ,<br>must all is really no shone has loving to be here . ”<br>“ the morrow passed",-0.25,-0.5,0.0,0.0,-0.25,-0.75,0.25,-0.5,-0.75,0.25,-0.25
"and says he was, engaging ev'ry day<br>but parson were a chin upon the breast<br>and she asked her in the place to say<br>she left her back:— he presently at last",0.2222222222222222,0.0,0.0,-0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0,0.0,0.6666666666666666,0.3333333333333333
"and far up into sunset, scattered vast<br>that god's infinite darkness into strife<br>yet lo! the spot of all a world of life<br>and never with the everlasting rest",-0.6296296296296297,0.3333333333333333,-1.0,-0.3333333333333333,-1.0,-1.0,-1.0,-0.3333333333333333,-0.3333333333333333,-1.0,-1.0
"the days were dark and long , long nights , <br>and love , and all , the world has been <br>a thousand years and ever had been swept <br>through the dark woods , in the dark and",-0.2222222222222222,-0.5,-0.5,-0.5,0.0,0.0,-0.5,0.0,0.0,0.0,-0.5
"“ ye are dead , ” creatures and the word <br>of the old world 's crystal and can see , <br>but the world is a woman to thee , <br>and in thy soul , thy spirit white",-0.037037037037037035,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.3333333333333333,-0.3333333333333333,0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,0.3333333333333333
"merry march-wind , softer blow ,<br>let the little children know<br>where the sweetest flowers grow ;<br>let thy tender accents ring<br>from the joyous harp of spring .",0.1111111111111111,0.5,0.0,0.5,0.0,0.0,-0.5,1.0,-0.5,0.0,-0.5
"entire knuckles started crashing slashing ! <br>and children watched with little fingers tied ! <br>how many human minds are barely glancing, <br>too busy telling me to move aside. <br><br>my hands were big enough for even stating ! <br>was such a puppet on an ugly stick ! <br>another small idea at the taking, <br>or maybe doing something very quick.",-0.3333333333333333,-1.0,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,0.3333333333333333,-1.0,0.3333333333333333,-0.3333333333333333,0.3333333333333333
"too many people playing pryor creek ! <br>as soon as you can see this semi pro, <br>we gonna catch another hitting streak ! <br>its coming from an early rodeo. <br><br>they wanna murder me louie louie. <br>have money from the local tennis courts, <br>and back to salem public library ! <br>i need an empty pocket full of sports.",0.18518518518518517,0.3333333333333333,0.3333333333333333,-0.3333333333333333,0.3333333333333333,1.0,-0.3333333333333333,1.0,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333
"“ see , ” she cries , “ i 'll try . ” <br>the little owl cried and sang , “ how sweet it was , <br>if i might have a hidden place , <br>in a strange",-0.06666666666666667,-0.2,-0.2,0.2,0.2,-0.2,0.2,-0.6,-0.2,0.2,0.2
"i crushed them with a curse i remember , as a day while me ,<br>planet pa where though another lay<br>upon a cheek , and they our rest are longing<br>for never was the spring or plucked light<br>is on flying ;<br>but where the birds you would not help",0.5,1.0,1.0,0.5,-0.5,0.5,0.5,0.0,0.5,1.0,0.0
"the glory of that care i cannot be<br>self thinking for to think she hath her sure<br>she and must hold, and all her am to me<br>that secret is, it never must endure",-0.20634920634920634,-0.14285714285714285,-0.7142857142857143,-0.7142857142857143,0.42857142857142855,-0.42857142857142855,0.14285714285714285,0.14285714285714285,0.14285714285714285,-0.7142857142857143,0.42857142857142855
"if hope , when she lured me and beckoned ,<br>had pushed at my shoulders instead ,<br>and fame , on whose favors i reckoned ,<br>had laureled the worthiest head ,<br>i could garland the years that are dead .",0.1111111111111111,1.0,0.5,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.5
"“ where is my love , ” said the lass , <br>“ i have no word , ” says he . <br>“ he 's a king , ” he replied , “ he went to bed ,",-0.4444444444444444,-0.6666666666666666,-1.0,-0.3333333333333333,-0.6666666666666666,-0.6666666666666666,0.0,-0.6666666666666666,0.3333333333333333,-0.3333333333333333,-0.3333333333333333
"then shall the rhine our smiles receive ,<br>for on its banks alone<br>can e'er be found a wine to give<br>the soul its proper tone .<br>the soul , & c .",-0.1111111111111111,-0.3333333333333333,-1.0,-0.3333333333333333,-0.3333333333333333,1.0,1.0,0.3333333333333333,-1.0,-0.3333333333333333,-1.0
"who is not by the country who are dead , <br>and the king 's children ? <br>they will not come home , <br>and he shall judge him in the arms of the lord .",0.1111111111111111,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,-1.0,-1.0,-0.3333333333333333,1.0,0.3333333333333333,1.0
"bear witness , once my comrades , what a hard-bit gang were we —<br>the servants of the sweep-head , but the masters of the sea !<br>by the hands that drove her forward as she plunged and yawed and<br>sheered ,<br>woman , man , or god , or devil , was there anything we feared ?",-0.06172839506172839,-0.3333333333333333,-0.3333333333333333,0.1111111111111111,-0.3333333333333333,-0.1111111111111111,-0.3333333333333333,-0.1111111111111111,0.5555555555555556,0.3333333333333333,-0.3333333333333333
"the day of the world shall come , and the world is free ! <br>i am not longer , my love , <br>and the simple power of all the rest . ” <br>the spirit of the silver",0.2222222222222222,0.2,0.0,0.2,0.0,0.2,0.6,0.4,0.2,0.2,0.6
"the stars are falling , are falling —<br>look ! on your sleeve is a star !<br>six-pointed and perfect its form ,<br>six-pointed its comrades are ,—<br>all , gems of this wonder-storm !",-0.2777777777777778,-0.5,-0.5,0.0,0.0,0.0,-0.5,0.0,-0.5,-0.5,-0.5
"the moon is a coming thing <br>that sings of me , but i must not be <br>when i am dead ; <br>and the dead red and red ,",0.28888888888888886,0.6,0.2,0.2,0.2,0.2,0.2,-0.2,0.6,0.6,0.6
"hen . cock , cock , i have la-a-a-yed !<br>cock . hen , hen , that 's well sa-a-a-yed !<br>hen . although i have to go barefooted every da-a-y !<br>cock ( con spirito ) . sell your eggs , and buy shoes ,<br>sell your eggs , and buy shoes !",-0.5555555555555556,-0.6,-0.2,-1.0,-1.0,-0.2,-0.2,-0.6,-1.0,-0.2,0.2
"is it that you have had , dear lord , <br>when we are lost , and we 'll be at the work . ” <br>‘ twas well the afternoon and the rocks ; <br>and the birds and",0.28888888888888886,1.0,0.2,0.2,0.6,0.2,-0.2,-0.2,0.6,0.2,0.6
